Invoice Date,Invoicing month,Quarter,PO Number- Sales,Retailer Name,Supplier Onboarding Date,Supplier Onboarding Quarter,Commodity Name,Category Mix,Loading State,Customer Name,Customer Type,Buyer Onboarding Date,Buyer Onboarding Quarter,Unloading State,Geography Mix,Qty. Bought,Qty Price,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Qty Sold,Selling Price,Invoice Value,Credit note qty,Credit note value,Gross invoice,Cash discount,Bardana,Quality,Net Invoice Value,Difference,Rejections (Yes/No),Quantity Sold,COGS,Commodity Cost,Discount to Farmers,Gunny Bag / Crates / Box Cost,Commission Amt,Transportation Cost,Mandi Tax,Deductions To retailer,Total Cost,Total inventory,COGS for GM,GM,CM-I,CM-II,cm2 %,GM +ve Transactions,CM-I +ve Transactions,CM-II +ve Transactions,
,Apr-21,"Q1, FY 22",1#3,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 248.20 ,1927.807314,478481.7753,0,12588.16267,465893.6126,9629.230611,3129.499949,9608.4074,443526.4747,-0.3,,248.5,403501.88,399466.8612,4035.0188,14564,10280,15250,0,0,443595.88, -   ," 3,99,467 ",66426.75142,23203.25147,-69.41, (0.0%),1,1,0,
,Apr-21,"Q1, FY 22",1#2,IRFAN TRENDING COMPANY,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 253.70 ,1927.807314,489084.7155,0,30393.7682,458690.9473,10186.28454,3310.542476,10164.2567,435029.8636,-3.45,,257.15,425800,421542,4258,11759,10647,18570,0,0,466776, -   ," 4,21,542 ",37148.94731,-7137.595161,-31746.14, (6.9%),1,0,0,
,Apr-21,"Q1, FY 22",1#5,Kisaan Beej Center,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 253.85 ,1990.670596,505331.7307,0,18519.39714,486812.3336,10272.0263,3338.408546,10249.81304,462952.0857,-1.35,,255.2,422669.9,418443.201,4226.699,12176,10570,39750,0,0,485165.9, -   ," 4,18,443 ",68369.1326,2534.724052,-22213.81, (4.6%),1,1,0,
,Apr-21,"Q1, FY 22",4#1,PANNA LAL HARI SHANKER,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Universal Infra,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 253.10 ,1891.137066,478646.7914,0,100.0573905,478546.734,9387.591166,3050.967129,9367.2905,456740.8852,-0.275,,253.375,418882.08,414693.2592,4188.8208,15119,10672,10750,0,0,455423.08, -   ," 4,14,693 ",63853.47481,24261.50768,1317.81, 0.3% ,1,1,1,
44316,Apr-21,"Q1, FY 22",1#6,Dheeru Traders,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Universal Infra,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 305.20 ,1891.137066,577175.0325,0,62219.98105,514955.0515,12537.68875,4074.748844,12510.576,485832.0379,-0.9,no,306.1,504605.85,499559.7915,5046.0585,18213,12856,15500,0,0,551174.85, -   ," 4,99,560 ",15395.25999,-35248.48885,-65342.81, (12.7%),1,0,0,
44310,Apr-21,"Q1, FY 22",2#1,Shriram Fertilizer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Maa Bhagwati trading Company,SME,Apr-21,"Q1, FY 22",Haryana,Haryana,,,,,,,,,,,, 119.00 ,1959.238955,233149.4356,0,6841.620521,226307.8151,4705.906523,1529.41962,4695.73,215376.759,-0.5,,119.5,209125,207033.75,2091.25,12700,5228,0,0,0,227053, -   ," 2,07,034 ",19274.0651,-183.3545198,-11676.24, (5.2%),1,0,0,
44314,Apr-21,"Q1, FY 22",1#8,IRFAN TRENDING COMPANY,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,Vivek Enterprises,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 273.50 ,1843.989605,504331.1568,0,11808.02934,492523.1275,10120.80534,3289.261736,10098.9191,469014.1413,5.07,,268.43,453646.7,449110.233,4536.467,13044,11341,17100,0,0,495131.7, -   ," 4,49,110 ",43412.89449,-1361.367241,-26117.56, (5.3%),1,0,0,
44312,Apr-21,"Q1, FY 22",2#2,Lohare Singh Trading Company,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 256.30 ,2048.295271,524978.0779,0,17511.29012,507466.7878,10637.49748,3457.186682,10614.4939,482757.6098,1.3,,255,446250,441787.5,4462.5,6630,11150,20000,0,0,484030, -   ," 4,41,788 ",65679.28782,24442.10114,-1272.39, (0.3%),1,1,0,
44316,Apr-21,"Q1, FY 22",2#4,Krishna Khad Bhandar (Narender) Retailer,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 201.05 ,2048.295271,411809.7642,-0.8,14288.0356,397521.7286,8355.696761,2707.567689,8337.293459,378121.1707,0,,200.25,354442.5,350898.075,3544.425,640,8861,16500,0,0,380443.5, -   ," 3,50,898 ",46623.65362,17915.08594,-2322.33, (0.6%),1,1,0,
44316,Apr-21,"Q1, FY 22",7#1-1,Secondary Sales,Apr-21,"Q1, FY 22",Wheat,Wheat,Uttar Pradesh,I T C LIMITED,SME,Apr-21,"Q1, FY 22",Uttar Pradesh,Uttar Pradesh,,,,,,,,,,,, 255.10 ,2048.295271,522520.1236,0,26548.09645,495972.0272,10766.50005,3499.112517,10743.2175,470963.1971,6.4,,248.7,445123,440671.77,4451.23,16066,11341,0,0,0,472530, -   ," 4,40,672 ",55300.25717,24394.14465,-1566.80, (0.3%),1,1,0,
